Task name,Status,Assignee,Due,Files & media,Priority,Est Hours,Act Hours,Project,Summary,Tags,Parent-task,Sub-tasks
"Shop competitors ",In progress,"Jim Baxley, Laura",,,,16,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,"Acorn & Oak (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Acorn%20&%20Oak%206b7b6346166e412a998a6cf52b7d31da.html), Henry Property Management  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Henry%20Property%20Management%20ca836a82527f4e6c899b6e4e6b15802d.html), Fairfax PM (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Fairfax%20PM%2065c8223ed3614c098b1588da902593ad.html), Property Firm (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Property%20Firm%205679e525775841bbbb4a15e525a5b7ef.html)"
Website updates,In progress,Jim Baxley,,,,8,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Resident Research updates,Not started,Jim Baxley,,,,4,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Tenant Moveout process,Not started,Jim Baxley,,,,4,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Applicant keep-warm process,Not started,Jim Baxley,,,,6,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Weekly Content Program,Not started,Jim Baxley,,,,12,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,"Content creation (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Content%20creation%20b2dc57d9640340c79a6c2fd1b6bf88cb.html), Newsletter process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Newsletter%20process%205fa7f38b85374090bbbc7dc23ed4c3f9.html), Blog Process and hosting (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Blog%20Process%20and%20hosting%208e14c59fe6714354b7b0092cd73a9594.html), Distribution Process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Distribution%20Process%202ef4acb492714149a22fb740e5382dfc.html)"
create Vendor response process,Not started,Jim Baxley,,,,4,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),"Create a vendor response process with the following steps: thank vendors for their email, request insurance certificates and EIN, and promise a response within 5 business days. Consider using Constant Contact or WiseAgent for communication.",,,"Create vendor form (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Create%20vendor%20form%20ef3dafacb8194b1388e987ee30f4d875.html), create auto response process for vendors (Tasks%20d3c736d0cefe4b1ca795bec0af013934/create%20auto%20response%20process%20for%20vendors%20ff0160caab964a1ea7e2c7cd46e888da.html)"
Google appointment scheduling,Not started,Jim Baxley,,,,2,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),No content,,,"Log in and verify  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Log%20in%20and%20verify%2009fd21e1016b441fbb63fcde38bc9858.html), Create instructions (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Create%20instructions%2019579da328ba4fc297df80d6e170b599.html)"
Build Phase II proposal,In progress,Jim Baxley,"May 1, 2024 → May 10, 2024",,,5,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),Focus on integrations,,,
Build Phase I proposal,In progress,Jim Baxley,"April 15, 2024",,High,2,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),Focus on renter contact,,,
Tenant Turner into WiseAgent,In Review,Jim Baxley,,,,,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Draft,In Review,Jim Baxley,"December 21, 2023",https://blue-dog-s2l4.squarespace.com/,,,,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Mock up website (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Mock%20up%20website%20105c9681a276455e826584c1f0464505.html),
Play with colors,Done,,,,,,,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Mock up website (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Mock%20up%20website%20105c9681a276455e826584c1f0464505.html),
Get access to current domain,Not started,Laura,,,,,,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Mock up website (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Mock%20up%20website%20105c9681a276455e826584c1f0464505.html),
Add Photos,Done,Jim Baxley,,,,,,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Mock up website (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Mock%20up%20website%20105c9681a276455e826584c1f0464505.html),
Process Photos,Done,Laura,"December 20, 2023",https://www.dropbox.com/scl/fi/ljdq9cggv06cof3tz3bs2/PROOFS.pdf?rlkey=pdgp4frj3xxkxq9h56buoe2gk&dl=0,,,,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Photoshoot (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Photoshoot%20ebd3ae291e08402ea2ef2eb365ba26f3.html),
Pocket Folder,In Review,Laura,,https://www.dropbox.com/scl/fi/xj14ngejv8sc6ya52xul1/PPA-POCKETFOLDER-9x12.pdf?rlkey=xzfi52ep1mo3h9ofz96tbe1op&dl=0,High,0.5,0.5,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),Something with some blue,,,
Expenses,Done,"Jim Baxley, Laura",,,,,,,,,,
Revenue,Done,"Jim Baxley, Laura",,,,,,,,,,
